"key","en - English","hi - हिन्दी","ta - தமிழ்","te - తెలుగు","kn - ಕನ್ನಡ","ml - മലയാളം","mr - मराठी","bn - বাংলা","gu - ગુજરાતી","pa - ਪੰਜਾਬੀ"
"nav.home","Home","होम","முகப்பு","హోమ్","ಮುಖಪುಟ","ഹോം","मुख्यपृष्ठ","হোম","મુખ્ય પૃષ્ઠ","ਮੁੱਖ ਪੰਨਾ"
"nav.flashcards","Flashcards","फ्लैशकार्ड","ஃபிளாஷ்கார்டுகள்","ఫ్లాష్‌కార్డ్‌లు","ಫ್ಲಾಶ್‌ಕಾರ್ಡ್‌ಗಳು","ഫ്ലാഷ്കാർഡുകൾ","फ्लॅशकार्ड्स","ফ্ল্যাশকার্ড","ફ્લેશકાર્ડ","ਫਲੈਸ਼ਕਾਰਡ"
"nav.tutor","AI Tutor","एआई ट्यूटर","AI ஆசிரியர்","AI ట్యూటర్","AI ಶಿಕ್ಷಕ","AI അദ്ധ്യാപകൻ","AI शिक्षक","AI শিক্ষক","AI શિક્ષક","AI ਅਧਿਆਪਕ"
"nav.set_goals","Set goals","लक्ष्य तय करें","இலக்குகள் அமைக்கவும்","లక్ష్యాలను సెట్ చేయండి","ಗುರಿಗಳನ್ನು ಹೊಂದಿಸಿ","ലക്ഷ്യങ്ങൾ സജ്ജമാക്കുക","उद्दिष्टे ठरवा","লক্ষ্য নির্ধারণ","લક્ષ્ય સેટ કરો","ਟੀਚੇ ਮਿੱਥੋ"
"nav.upgrade","Upgrade","अपग्रेड","மேம்படுத்து","అప్‌గ్రేడ్","ಅಪ್‌ಗ್ರೇಡ್","അപ്‌ഗ്രേഡ്","अपग्रेड","আপগ্রেড","અપગ્રેડ","ਅਪਗ੍ਰੇਡ"
"nav.parent_view","Parent view","माता-पिता दृश्य","பெற்றோர் காட்சி","తల్లిదండ్రుల వీక్షణ","ಪೋಷಕರ ನೋಟ","രക്ഷിതാവിന്റെ കാഴ്ച","पालक दृश्य","অভিভাবক দর্শন","વાલી દૃશ્ય","ਮਾਪਿਆਂ ਦਾ ਦ੍ਰਿਸ਼"
"nav.settings","Settings","सेटिंग्स","அமைப்புகள்","సెట్టింగ్‌లు","ಸೆಟ್ಟಿಂಗ್‌ಗಳು","ക്രമീകരണങ്ങൾ","सेटिंग्ज","সেটিংস","સેટિંગ્સ","ਸੈਟਿੰਗਾਂ"
"nav.new_lesson","New lesson","नया पाठ","புதிய பாடம்","కొత్త పాఠం","ಹೊಸ ಪಾಠ","പുതിയ പാഠം","नवीन पाठ","নতুন পাঠ","નવો પાઠ","ਨਵਾਂ ਪਾਠ"
"nav.skip_to_main","Skip to main content","मुख्य सामग्री पर जाएं","முக்கிய உள்ளடக்கத்திற்கு செல்","ముఖ్య కంటెంట్‌కు వెళ్ళండి","ಮುಖ್ಯ ವಿಷಯಕ್ಕೆ ತೆರಳಿ","പ്രധാന ഉള്ളടക്കത്തിലേക്ക് പോകുക","मुख्य सामग्रीवर जा","মূল বিষয়বস্তুতে যান","મુખ્ય સામગ્રી પર જાઓ","ਮੁੱਖ ਸਮੱਗਰੀ ਉੱਤੇ ਜਾਓ"
"nav.sign_in","Sign in","साइन इन","உள்நுழை","సైన్ ఇన్","ಸೈನ್ ಇನ್","സൈൻ ഇൻ","साइन इन","সাইন ইন","સાઇન ઇન","ਸਾਈਨ ਇਨ"
"nav.sign_out","Sign out","साइन आउट","வெளியேறு","సైన్ అవుట్","ಸೈನ್ ಔಟ್","സൈൻ ഔട്ട്","साइन आउट","সাইন আউট","સાઇન આઉટ","ਸਾਈਨ ਆਊਟ"
"nav.my_library","My Library","मेरी लाइब्रेरी","என் நூலகம்","నా గ్రంథాలయం","ನನ್ನ ಗ್ರಂಥಾಲಯ","എന്റെ ലൈബ്രറി","माझे ग्रंथालय","আমার লাইব্রেরি","મારી લાઇબ્રેરી","ਮੇਰੀ ਲਾਇਬ੍ਰੇਰੀ"
"nav.back_to_home","Back to Home","होम पर लौटें","முகப்புக்கு திரும்பு","హోమ్‌కు తిరిగి","ಮುಖ್ಯಪುಟಕ್ಕೆ ಹಿಂತಿರುಗಿ","ഹോമിലേക്ക് മടങ്ങുക","मुख्यपृष्ठावर परत","হোমে ফিরুন","મુખ્ય પૃષ્ઠ પર પાછા","ਮੁੱਖ ਪੰਨੇ ਵਾਪਸ"
"nav.school_portal","School Portal","स्कूल पोर्टल","பள்ளி போர்ட்டல்","పాఠశాల పోర్టల్","ಶಾಲಾ ಪೋರ್ಟಲ್","സ്കൂൾ പോർട്ടൽ","शाळा पोर्टल","স্কুল পোর্টাল","શાળા પોર્ટલ","ਸਕੂਲ ਪੋਰਟਲ"
"nav.teacher_studio","Teacher Studio","शिक्षक स्टूडियो","ஆசிரியர் ஸ்டுடியோ","ఉపాధ్యాయ స్టూడియో","ಶಿಕ್ಷಕರ ಸ್ಟುಡಿಯೋ","അദ്ധ്യാപക സ്റ്റുഡിയോ","शिक्षक स्टुडिओ","শিক্ষক স্টুডিও","શિક્ષક સ્ટુડિયો","ਅਧਿਆਪਕ ਸਟੂਡੀਓ"
"nav.video_studio","Video Studio","वीडियो स्टूडियो","வீடியோ ஸ்டுடியோ","వీడియో స్టూడియో","ವೀಡಿಯೋ ಸ್ಟುಡಿಯೋ","വീഡിയോ സ്റ്റുഡിയോ","व्हिडिओ स्टुडिओ","ভিডিও স্টুডিও","વિડિઓ સ્ટુડિયો","ਵੀਡੀਓ ਸਟੂਡੀਓ"
"nav.doubt_queue","Doubt Queue","शंका कतार","சந்தேக வரிசை","సందేహాల వరుస","ಸಂದೇಹಗಳ ಸಾಲು","സംശയ വരി","शंका रांग","সন্দেহ সারি","શંકા કતાર","ਸ਼ੰਕਾ ਕਤਾਰ"
"module.voice_tutor","Voice Tutor","वॉइस ट्यूटर","குரல் ஆசிரியர்","వాయిస్ ట్యూటర్","ಧ್ವನಿ ಶಿಕ್ಷಕ","ശബ്ദ അദ്ധ്യാപകൻ","व्हॉइस शिक्षक","ভয়েস শিক্ষক","વોઇસ શિક્ષક","ਵਾਇਸ ਅਧਿਆਪਕ"
"module.live_lecture","Live Lecture","लाइव लेक्चर","நேரடி பாடம்","ప్రత్యక్ష పాఠం","ನೇರ ಪಾಠ","നേരിട്ടുള്ള ക്ലാസ്","थेट पाठ","সরাসরি পাঠ","લાઇવ પાઠ","ਲਾਈਵ ਪਾਠ"
"module.math_check","Math Check","गणित जांच","கணித சரிபார்ப்பு","గణిత తనిఖీ","ಗಣಿತ ತಪಾಸಣೆ","ഗണിത പരിശോധന","गणित तपासणी","গণিত যাচাই","ગણિત ચકાસણી","ਗਣਿਤ ਜਾਂਚ"
"module.mock_interview","Mock Interview","मॉक इंटरव्यू","சோதனை நேர்காணல்","నమూనా ఇంటర్వ్యూ","ಮಾದರಿ ಸಂದರ್ಶನ","മാതൃകാ അഭിമുഖം","नमुना मुलाखत","মক ইন্টারভিউ","મોક ઇન્ટરવ્યૂ","ਮੌਕ ਇੰਟਰਵਿਊ"
"module.adaptive_practice","Adaptive Practice","अनुकूली अभ्यास","ஏற்புடைய பயிற்சி","అనువర్తనీయ సాధన","ಅನುಕೂಲಿತ ಅಭ್ಯಾಸ","ഇണക്കമുള്ള പരിശീലനം","अनुकूलित सराव","অভিযোজিত অনুশীলন","અનુકૂલિત અભ્યાસ","ਅਨੁਕੂਲ ਅਭਿਆਸ"
"module.practice_tests","Practice Tests","अभ्यास परीक्षण","பயிற்சித் தேர்வுகள்","అభ్యాస పరీక్షలు","ಅಭ್ಯಾಸ ಪರೀಕ್ಷೆಗಳು","പരിശീലന പരീക്ഷകൾ","सराव परीक्षा","অনুশীলন পরীক্ষা","અભ્યાસ પરીક્ષાઓ","ਅਭਿਆਸ ਇਮਤਿਹਾਨ"
